id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
175,CoRoT-20 c,2753,17 Jupiters,14.63,2018
176,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
177,CoRoT-22 b,2046,12.2 Earths,13.82,2014
178,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
179,CoRoT-24 b,1930,5.7 Earths,15.383,2014
180,CoRoT-24 c,1930,28 Earths,15.383,2014
181,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
182,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
183,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
184,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
185,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
186,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
187,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
188,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
189,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
190,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
191,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
192,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
193,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
194,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
195,CoRoT-7 b,522,4.07661 Earths,11.728,2009
196,CoRoT-7 c,522,8.4 Earths,11.728,2009
197,CoRoT-7 d,522,17.142 Earths,11.728,2022
198,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
199,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
200,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
201,CT Chamaleontis b,622,17 Jupiters,12.335,2007
202,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
203,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
204,DH Tauri b,440,11 Jupiters,13.98,2004
205,DMPP-1 b,204,24.27 Earths,7.98,2019
206,DMPP-1 c,204,9.6 Earths,7.98,2019
207,DMPP-1 d,204,3.35 Earths,7.98,2019
208,DMPP-1 e,204,4.13 Earths,7.98,2019
209,DMPP-2 b,450,0.437 Jupiters,8.57,2019
210,DMPP-3 A b,148,2.58 Earths,9.066,2019
211,DMPP-4 b,83,12.2 Earths,5.72936,2023
212,DP Leonis b,997,6.28 Jupiters,18.6837,2009
213,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
214,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
215,EPIC 201238110 b,520,4.16 Earths,16.014,2019
216,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
217,EPIC 201497682 b,825,0.26 Earths,13.948,2019
218,EPIC 201595106 b,757,2.24 Earths,11.746,2021
219,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
220,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
221,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
222,EPIC 201833600 c,840,0.972 Earths,14.705,2019
223,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
224,EPIC 205950854 c,796,2.27 Earths,12.365,2019
225,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
226,CT Chamaleontis b,622,17 Jupiters,12.335,2007
227,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
228,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
229,DH Tauri b,440,11 Jupiters,13.98,2004
230,DMPP-1 b,204,24.27 Earths,7.98,2019
231,DMPP-1 c,204,9.6 Earths,7.98,2019
232,DMPP-1 d,204,3.35 Earths,7.98,2019
233,DMPP-1 e,204,4.13 Earths,7.98,2019
234,DMPP-2 b,450,0.437 Jupiters,8.57,2019
235,DMPP-3 A b,148,2.58 Earths,9.066,2019
236,DMPP-4 b,83,12.2 Earths,5.72936,2023
237,DP Leonis b,997,6.28 Jupiters,18.6837,2009
238,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
239,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
240,EPIC 201238110 b,520,4.16 Earths,16.014,2019
241,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
242,EPIC 201497682 b,825,0.26 Earths,13.948,2019
243,EPIC 201595106 b,757,2.24 Earths,11.746,2021
244,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
245,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
246,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
247,EPIC 201833600 c,840,0.972 Earths,14.705,2019
248,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
249,EPIC 205950854 c,796,2.27 Earths,12.365,2019
